 Iv,Is,Ig
0.00506191,0.0124822,0.0223969
0.00500628,0.0123264,0.0220738
0.00494992,0.0121697,0.0217517
0.00489292,0.0120123,0.0214309
0.00483534,0.0118544,0.0211117
0.00477728,0.0116961,0.0207942
0.0047188,0.0115376,0.0204789
0.00465998,0.0113791,0.0201658
0.00460089,0.0112208,0.0198553
0.00454161,0.0110627,0.0195475
0.00448218,0.0109052,0.0192426
0.00442269,0.0107482,0.0189408
0.00436319,0.0105919,0.0186423
0.00430373,0.0104365,0.0183472
0.00424438,0.010282,0.0180556
0.00418518,0.0101286,0.0177676
0.00412619,0.0099764,0.0174834
0.00406745,0.00982545,0.0172031
0.00400902,0.00967585,0.0169267
0.00395092,0.00952769,0.0166543
0.00389321,0.00938105,0.016386
0.00383591,0.009236,0.0161219
0.00377908,0.00909259,0.0158619
0.00372273,0.0089509,0.0156061
0.00366689,0.00881096,0.0153546
0.00361161,0.00867284,0.0151074
0.0035569,0.00853657,0.0148645
0.00350278,0.0084022,0.0146258
0.00344929,0.00826975,0.0143915
0.00339644,0.00813926,0.0141614
0.00334424,0.00801074,0.0139357
0.00329272,0.00788423,0.0137142
0.00324189,0.00775975,0.013497
0.00319177,0.00763729,0.013284
0.00314236,0.00751688,0.0130753
0.00309368,0.00739852,0.0128707
0.00304573,0.00728222,0.0126702
0.00299853,0.00716798,0.0124739
0.00295207,0.0070558,0.0122817
0.00290637,0.00694568,0.0120934
0.00286142,0.0068376,0.0119092
0.00281724,0.00673157,0.0117289
0.00277381,0.00662757,0.0115525
0.00273115,0.0065256,0.0113799
0.00268925,0.00642563,0.0112112
0.00264811,0.00632766,0.0110462
0.00260773,0.00623167,0.0108848
0.0025681,0.00613763,0.0107272
0.00252923,0.00604555,0.010573
0.00249111,0.00595538,0.0104225
0.00245373,0.00586712,0.0102754
0.0024171,0.00578074,0.0101317
0.00238119,0.00569622,0.00999135
0.00234601,0.00561353,0.00985433
0.00231156,0.00553266,0.00972057
0.00227782,0.00545358,0.00958999
0.00224478,0.00537626,0.00946256
0.00221244,0.00530069,0.00933822
0.0021808,0.00522683,0.00921691
0.00214984,0.00515466,0.00909857
0.00211955,0.00508415,0.00898316
0.00208993,0.00501529,0.00887062
0.00206096,0.00494804,0.00876089
0.00203265,0.00488237,0.00865393
0.00200497,0.00481827,0.00854969
0.00197793,0.0047557,0.00844811
0.0019515,0.00469465,0.00834914
0.00192569,0.00463507,0.00825274
0.00190048,0.00457696,0.00815886
0.00187587,0.00452029,0.00806745
0.00185184,0.00446502,0.00797846
0.00182838,0.00441114,0.00789185
0.00180549,0.00435862,0.00780757
0.00178316,0.00430744,0.00772559
0.00176137,0.00425757,0.00764584
0.00174012,0.00420899,0.0075683
0.00171941,0.00416168,0.00749293
0.00169921,0.00411561,0.00741967
0.00167952,0.00407076,0.0073485
0.00166034,0.00402711,0.00727937
0.00164165,0.00398464,0.00721225
0.00162345,0.00394332,0.0071471
0.00160572,0.00390314,0.00708388
0.00158846,0.00386408,0.00702256
0.00157166,0.00382611,0.00696311
0.00155532,0.00378921,0.00690549
0.00153942,0.00375337,0.00684966
0.00152396,0.00371857,0.00679561
0.00150892,0.00368478,0.00674329
0.00149431,0.003652,0.00669268
0.00148011,0.0036202,0.00664374
0.00146632,0.00358936,0.00659646
0.00145293,0.00355947,0.0065508
0.00143994,0.00353052,0.00650674
0.00142733,0.00350248,0.00646424
0.0014151,0.00347534,0.0064233
0.00140324,0.00344909,0.00638387
0.00139175,0.00342371,0.00634594
0.00138062,0.00339919,0.00630949
0.00136985,0.00337551,0.00627449
0.00135943,0.00335266,0.00624093
0.00134935,0.00333062,0.00620877
0.00133961,0.00330939,0.00617801
